UniqueID;ScientificName_corrected;ScientificName;Data;taxon_key;Species;Level;Genus;Family;Order;Class;DemersPelagic;EnvTemp;DepthRangeDeep;Lmax;BodyShape;Feeding_path;K;tm;trophic_level;DepthRangeDeepLevel;KLevel;tmLevel;trophic_levelLevel;LMaxLevel;BodyShapeILevel;EnvTempLevel;Protein_mu;Protein_l95;Protein_l50;Protein_u50;Protein_u95;Zinc_mu;Zinc_l95;Zinc_l50;Zinc_u50;Zinc_u95;Iron_mu;Iron_l95;Iron_l50;Iron_u50;Iron_u95;Calcium_mu;Calcium_l95;Calcium_l50;Calcium_u50;Calcium_u95;Omega3_mu;Omega3_l95;Omega3_l50;Omega3_u50;Omega3_u95;Vitamin_A_mu;Vitamin_A_l95;Vitamin_A_l50;Vitamin_A_u50;Vitamin_A_u95;Selenium_mu;Selenium_l95;Selenium_l50;Selenium_u50;Selenium_u95
2;Abalistes stellaris;Abalistes stellaris;SAU;600009;Abalistes stellaris;species;Abalistes;Balistidae;Tetraodontiformes;Actinopterygii;demersal;tropical;100;60;short_deep;benthic;0.21;3.1;3.6;species;species;species;species;species;species;species;18.6949204519034;17.4326928170299;18.2435326738966;18.6949204519034;20.0576558798648;0.855358066652547;0.471967231786986;0.690863028461744;0.855358066652547;1.75971729557842;0.963279791742681;0.450475489807343;0.726858419158928;0.963279791742681;2.51895360988027;107.887653241776;34.1355868136183;72.974512383278;107.887653241776;338.352605058117;5.21945747493636;1.88297457607538;3.79873191898437;5.21945747493636;12.431204067103;2.6950127326498;0;0.625658255464758;2.6950127326498;41.6280804676132;50.4331052795274;17.1558267954395;35.4044531157817;50.4331052795274;137.775142572919
878;Ablennes hians;Ablennes hians;initial;600972;Ablennes hians;species;Ablennes;Belonidae;Beloniformes;Actinopterygii;reef_associated;subtropical;3;140;elongate;pelagic;0.61;0.99;4.5;species;species;species;species;species;species;species;24.7385040974718;22.7930062257131;24.0451469827038;24.7385040974718;26.8528052581168;0.225295812865809;0.108711408075075;0.174556498877577;0.225295812865809;0.525215186148981;0.656102353004254;0.256481211674078;0.466048752449029;0.656102353004254;2.18427840896388;69.2495604305388;13.7506686789057;40.5632336262796;69.2495604305388;323.421935553365;0.602375765434322;0;0.152225992362166;0.602375765434322;3.09984853540084;8.72058301277954;0;2.18246967230929;8.72058301277954;289.082874862493;12.7368049316833;1.94210381177395;7.11404883848618;12.7368049316833;65.9207932629053
154;Abudefduf saxatilis;Abudefduf saxatilis;SAU;601119;Abudefduf saxatilis;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;reef_associated;tropical;20;22.9;short_deep;pelagic;0.32;2.4;3.8;species;species;species;species;species;species;species;20.0826830411412;18.6163518829835;19.5670671131259;20.0826830411412;21.670869295033;0.460383906089415;0.197382921328215;0.339547931127888;0.460383906089415;1.29723869886066;0.802547600125629;0.294297548873995;0.555113863268114;0.802547600125629;3.13111984818372;185.324470417185;35.9668987093202;106.300883001282;185.324470417185;896.312102803001;3.20700195853658;1.01973960569034;2.26798990871468;3.20700195853658;7.7304529502221;17.1924129418375;0;5.67766560506357;17.1924129418375;345.150656246482;38.9382007523439;6.00501549688996;21.3151608094162;38.9382007523439;228.535835978321
496;Abudefduf septemfasciatus;Abudefduf septemfasciatus;SAU;605687;Abudefduf septemfasciatus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;reef_associated;tropical;3;23;short_deep;pelagic;0.32;2.3;3;species;species;species;species;species;species;species;20.1357984580422;18.5713176252395;19.5877001355223;20.1357984580422;21.8482264595149;0.438806890622967;0.185419250903481;0.322649143000782;0.438806890622967;1.25415881875367;0.723169356141632;0.266078628689699;0.498744965706328;0.723169356141632;2.79362056972443;149.072312807207;25.4278590217671;82.0147644438333;149.072312807207;781.483373633663;3.02854126832841;0.603678678330628;1.92171194736657;3.02854126832841;9.11888768514788;40.957001091285;0.872618590530329;13.5849933240611;40.957001091285;948.160870643602;22.2494312607978;2.53155862087209;11.2543412505768;22.2494312607978;151.72402803875
497;Abudefduf sexfasciatus;Abudefduf sexfasciatus;SAU;605688;Abudefduf sexfasciatus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;reef_associated;tropical;20;19;short_deep;pelagic;0.38;2;2.7;species;species;species;species;species;species;species;19.3185084800141;17.9245355465038;18.83159178307;19.3185084800141;20.8321539806888;0.565494575716005;0.241726700136214;0.416721041769671;0.565494575716005;1.6395574990483;0.899329318822855;0.335704073919909;0.621647267737632;0.899329318822855;3.58198202996396;207.829030281481;41.390896524978;120.341228204495;207.829030281481;973.55302209427;4.02025357632987;1.22333534293586;2.80111045940036;4.02025357632987;10.4244685822326;41.4035826041966;1.47263270827278;15.0562171071255;41.4035826041966;718.261454899928;39.3320207917073;5.93046588390293;21.4498948747958;39.3320207917073;226.073528661942
498;Abudefduf sordidus;Abudefduf sordidus;SAU;605689;Abudefduf sordidus;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;reef_associated;tropical;3;24;short_deep;benthic;0.3;2.5;2.9;species;species;species;species;species;species;species;19.1423109471555;17.7337782472687;18.6562827203411;19.1423109471555;20.684631932464;0.411373111993725;0.182940283407928;0.307112431901103;0.411373111993725;1.10988587769918;0.737563068791665;0.282877406507598;0.518340897671111;0.737563068791665;2.75443561592705;196.945055767262;38.056979629833;112.335984179303;196.945055767262;983.280439927447;3.01143375478005;0.750932258579797;2.02188584107419;3.01143375478005;8.30242665657323;27.598888635834;0.635839939444414;9.83015424134149;27.598888635834;508.34368348335;14.7428257352447;1.80040429732043;7.7286123695853;14.7428257352447;87.858309278495
587;Abudefduf vaigiensis;Abudefduf vaigiensis;SAU;606630;Abudefduf vaigiensis;species;Abudefduf;Pomacentridae;Perciformes;Actinopterygii;reef_associated;tropical;15;20;short_deep;benthic;0.85;0.9;2.6;species;species;species;species;species;species;species;19.0015195518992;17.6473060816865;18.5311283912463;19.0015195518992;20.4547222796097;0.451209556696706;0.204233427224209;0.339901477754842;0.451209556696706;1.1988834305817;0.823762897606277;0.322287005294023;0.581695233299373;0.823762897606277;2.97309187720244;175.751972609418;38.1330524732655;105.618222405321;175.751972609418;785.15451922736;3.64940025647398;1.14020774517824;2.55475453517459;3.64940025647398;9.13032717158901;13.5587382939516;0;4.62437523921086;13.5587382939516;238.931239117494;26.3356745758989;4.43308905647029;14.9990908022628;26.3356745758989;130.641349243344
879;Acanthaluteres vittiger;Acanthaluteres vittiger;initial;NA;Acanthaluteres vittiger;species;Acanthaluteres;Monacanthidae;Tetraodontiformes;Actinopterygii;demersal;subtropical;40;35;short_deep;benthic;0.62;1;2;species;family;family;species;species;species;species;20.4891529548237;19.0334224285053;19.9695148009847;20.4891529548237;22.0879158036281;0.438231500705451;0.245454212869881;0.35617035861247;0.438231500705451;0.836889855193823;0.722254381112012;0.327421074084323;0.543394509158401;0.722254381112012;1.88931714709013;120.795878691954;31.5222516654227;76.8436159577487;120.795878691954;469.119505265978;4.87573237115344;1.93671012454559;3.63376387870626;4.87573237115344;10.8148739435837;1.9493947276395;0;0.263582392897206;1.9493947276395;38.4509726865732;13.3720098527385;4.16598443714355;9.09406351964422;13.3720098527385;38.5308587608698
880;Acanthistius brasilianus;Acanthistius brasilianus;initial;600351;Acanthistius brasilianus;species;Acanthistius;Serranidae;Perciformes;Actinopterygii;benthopelagic;subtropical;78;60;fusiform;benthic;0.19;3.5;4;genus;species;species;species;species;species;species;20.7420542223536;19.8511817354359;20.4337006113087;20.7420542223536;21.672337897154;0.680994353268727;0.436100803615652;0.581460346769814;0.680994353268727;1.11228617187007;1.48420511751318;0.697419180212234;1.12696164657314;1.48420511751318;3.82111906687198;640.425817308429;241.672418665394;458.321645755922;640.425817308429;1726.30533385657;4.28178190299794;2.79578088032017;3.72102305393435;4.28178190299794;6.37395665766647;14.366783854797;1.86159836164318;7.80282609980834;14.366783854797;82.9565080158929;12.5739582427458;5.08315901035329;9.2994777654628;12.5739582427458;29.3624423922899
881;Acanthistius cinctus;Acanthistius cinctus;initial;NA;Acanthistius cinctus;species;Acanthistius;Serranidae;Perciformes;Actinopterygii;reef_associated;temperate;78;50;fusiform;pelagic;0.24;3.78;4.03;genus;family;family;genus;species;genus;species;22.132315825962;20.84280017965;21.6809437805427;22.132315825962;23.4814814045944;0.185277637569494;0.0944895720153536;0.144784314215066;0.185277637569494;0.400945997359989;0.253308911419015;0.108306002278065;0.186008366091853;0.253308911419015;0.688148293514616;53.3467290882208;12.9829552826385;33.045334002721;53.3467290882208;216.945291593693;3.38015277819032;1.30577801959999;2.50821335931364;3.38015277819032;7.32117727935711;47.0744361291312;3.40316124101211;20.6658476889056;47.0744361291312;475.757965308545;10.3565778400376;1.86881094435224;6.16045848581735;10.3565778400376;47.7736980672348
