Species,FM,FO,Company,Year,FO_trim,FM_trim,FM_cor,F0_cor,wild_caught_FM,wild_caught_FO
Blue whiting,5,16,Biomar,2016,44,15,8.928571429,18.82352941,596942.22,992916.6667
Anchovy,1,1,Biomar,2016,44,15,1.785714286,1.176470588,596942.22,992916.6667
Anchoveta,12,29,Biomar,2016,44,15,21.42857143,34.11764706,596942.22,992916.6667
Sardinella,13,17,Biomar,2016,44,15,23.21428571,20,596942.22,992916.6667
Capelin,4,2,Biomar,2016,44,15,7.142857143,2.352941176,596942.22,992916.6667
Krill,,10,Biomar,2016,44,15,0,11.76470588,596942.22,992916.6667
Sand eel,4,2,Biomar,2016,44,15,7.142857143,2.352941176,596942.22,992916.6667
Sprat,11,4,Biomar,2016,44,15,19.64285714,4.705882353,596942.22,992916.6667
Herring,3,,Biomar,2016,44,15,5.357142857,0,596942.22,992916.6667
Menhaden ,2,2,Biomar,2016,44,15,3.571428571,2.352941176,596942.22,992916.6667
Pout,,1,Biomar,2016,44,15,0,1.176470588,596942.22,992916.6667
Mackerel,,1,Biomar,2016,44,15,0,1.176470588,596942.22,992916.6667
Hake,,,Biomar,2016,44,15,0,0,596942.22,992916.6667
Cod,,,Biomar,2016,44,15,0,0,596942.22,992916.6667
Boarfish,,,Biomar,2016,44,15,0,0,596942.22,992916.6667
Silver smelt,,,Biomar,2016,44,15,0,0,596942.22,992916.6667
Other,2,,Biomar,2016,44,15,3.571428571,0,596942.22,992916.6667
Blue whiting,6,27,Biomar,2018,42,9,10.34482759,29.67032967,701533.3333,1117708.333
Anchovy,1,1,Biomar,2018,42,9,1.724137931,1.098901099,701533.3333,1117708.333
Anchoveta,11,9,Biomar,2018,42,9,18.96551724,9.89010989,701533.3333,1117708.333
Sardinella,11,36,Biomar,2018,42,9,18.96551724,39.56043956,701533.3333,1117708.333
Capelin,3,3,Biomar,2018,42,9,5.172413793,3.296703297,701533.3333,1117708.333
Krill,,,Biomar,2018,42,9,0,0,701533.3333,1117708.333
Sand eel,4,4,Biomar,2018,42,9,6.896551724,4.395604396,701533.3333,1117708.333
Sprat,5,3,Biomar,2018,42,9,8.620689655,3.296703297,701533.3333,1117708.333
Herring,5,3,Biomar,2018,42,9,8.620689655,3.296703297,701533.3333,1117708.333
Menhaden ,7,1,Biomar,2018,42,9,12.06896552,1.098901099,701533.3333,1117708.333
