Species,FM,FO,Company,Year,FO_trim,FM_trim,FM_cor,F0_cor,wild_caught_FM,wild_caught_FO
Pout,1,1,Biomar,2018,42,9,1.724137931,1.098901099,701533.3333,1117708.333
Mackerel,1,,Biomar,2018,42,9,1.724137931,0,701533.3333,1117708.333
Hake,,,Biomar,2018,42,9,0,0,701533.3333,1117708.333
Cod,1,,Biomar,2018,42,9,1.724137931,0,701533.3333,1117708.333
Boarfish,,,Biomar,2018,42,9,0,0,701533.3333,1117708.333
Silver smelt,,,Biomar,2018,42,9,0,0,701533.3333,1117708.333
Other,3,1,Biomar,2018,42,9,5.172413793,1.098901099,701533.3333,1117708.333
Blue whiting,3,28.1,Mowi,2018,4.9,10.2,3.154574132,31.29175947,185618.5956,715746.375
Anchovy,20.1,,Mowi,2018,4.9,10.2,21.13564669,0,185618.5956,715746.375
Anchoveta,8.2,,Mowi,2018,4.9,10.2,8.622502629,0,185618.5956,715746.375
Sardinella,22.6,,Mowi,2018,4.9,10.2,23.76445846,0,185618.5956,715746.375
Capelin,4,11,Mowi,2018,4.9,10.2,4.206098843,12.24944321,185618.5956,715746.375
Krill,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Sand eel,,11,Mowi,2018,4.9,10.2,0,12.24944321,185618.5956,715746.375
Sprat,3,11,Mowi,2018,4.9,10.2,3.154574132,12.24944321,185618.5956,715746.375
Herring,3,11,Mowi,2018,4.9,10.2,3.154574132,12.24944321,185618.5956,715746.375
Menhaden ,28.9,6.7,Mowi,2018,4.9,10.2,30.38906414,7.461024499,185618.5956,715746.375
Pout,2.3,11,Mowi,2018,4.9,10.2,2.418506835,12.24944321,185618.5956,715746.375
Mackerel,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Hake,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Cod,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Boarfish,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Silver smelt,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Other,,,Mowi,2018,4.9,10.2,0,0,185618.5956,715746.375
Blue whiting,1.5,17.3,Biomar,2019,29.5,27.9,2.127659574,23.99445215,706862.2222,1556895.833
Anchovy,4.2,0.4,Biomar,2019,29.5,27.9,5.957446809,0.554785021,706862.2222,1556895.833
Anchoveta,21.3,22.6,Biomar,2019,29.5,27.9,30.21276596,31.34535368,706862.2222,1556895.833
Sardinella,15,1.8,Biomar,2019,29.5,27.9,21.27659574,2.496532594,706862.2222,1556895.833
Capelin,0.3,0.2,Biomar,2019,29.5,27.9,0.425531915,0.27739251,706862.2222,1556895.833
Krill,,8,Biomar,2019,29.5,27.9,0,11.09570042,706862.2222,1556895.833
Sand eel,2.7,4,Biomar,2019,29.5,27.9,3.829787234,5.547850208,706862.2222,1556895.833
Sprat,6.5,1.9,Biomar,2019,29.5,27.9,9.219858156,2.635228849,706862.2222,1556895.833
Herring,8.8,7.6,Biomar,2019,29.5,27.9,12.4822695,10.5409154,706862.2222,1556895.833
Menhaden ,0.2,2.1,Biomar,2019,29.5,27.9,0.283687943,2.912621359,706862.2222,1556895.833
Pout,0.3,0.9,Biomar,2019,29.5,27.9,0.425531915,1.248266297,706862.2222,1556895.833
Mackerel,3.9,2.6,Biomar,2019,29.5,27.9,5.531914894,3.606102635,706862.2222,1556895.833
Hake,,,Biomar,2019,29.5,27.9,0,0,706862.2222,1556895.833
Cod,,,Biomar,2019,29.5,27.9,0,0,706862.2222,1556895.833
Boarfish,,,Biomar,2019,29.5,27.9,0,0,706862.2222,1556895.833
Silver smelt,0.1,0.1,Biomar,2019,29.5,27.9,0.141843972,0.138696255,706862.2222,1556895.833
Other,6,2.5,Biomar,2019,29.5,27.9,8.510638298,3.46740638,706862.2222,1556895.833
Blue whiting,3,28.7,Mowi,2019,4.9,10.2,3.154574132,31.95991091,209098.3022,881458.125
Anchovy,2.8,,Mowi,2019,4.9,10.2,2.94426919,0,209098.3022,881458.125
Anchoveta,40.2,,Mowi,2019,4.9,10.2,42.27129338,0,209098.3022,881458.125
Sardinella,28.2,,Mowi,2019,4.9,10.2,29.65299685,0,209098.3022,881458.125
Capelin,4,11,Mowi,2019,4.9,10.2,4.206098843,12.24944321,209098.3022,881458.125
Krill,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Sand eel,,11,Mowi,2019,4.9,10.2,0,12.24944321,209098.3022,881458.125
Sprat,5,11,Mowi,2019,4.9,10.2,5.257623554,12.24944321,209098.3022,881458.125
Herring,5,11,Mowi,2019,4.9,10.2,5.257623554,12.24944321,209098.3022,881458.125
Menhaden ,4.5,6.1,Mowi,2019,4.9,10.2,4.731861199,6.792873051,209098.3022,881458.125
Pout,2.4,11,Mowi,2019,4.9,10.2,2.523659306,12.24944321,209098.3022,881458.125
Mackerel,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Hake,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Cod,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Boarfish,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Silver smelt,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Other,,,Mowi,2019,4.9,10.2,0,0,209098.3022,881458.125
Blue whiting,31,31,Cargill,2016,0,0,31,31,NA,NA
Anchovy,,,Cargill,2016,0,0,0,0,NA,NA
Anchoveta,29,29,Cargill,2016,0,0,29,29,NA,NA
Sardinella,9,9,Cargill,2016,0,0,9,9,NA,NA
Capelin,3,3,Cargill,2016,0,0,3,3,NA,NA
Krill,,,Cargill,2016,0,0,0,0,NA,NA
Sand eel,2,2,Cargill,2016,0,0,2,2,NA,NA
Sprat,11,11,Cargill,2016,0,0,11,11,NA,NA
Herring,,,Cargill,2016,0,0,0,0,NA,NA
Menhaden ,8,8,Cargill,2016,0,0,8,8,NA,NA
Pout,2,2,Cargill,2016,0,0,2,2,NA,NA
Mackerel,,,Cargill,2016,0,0,0,0,NA,NA
Hake,,,Cargill,2016,0,0,0,0,NA,NA
Cod,,,Cargill,2016,0,0,0,0,NA,NA
Boarfish,,,Cargill,2016,0,0,0,0,NA,NA
Silver smelt,,,Cargill,2016,0,0,0,0,NA,NA
Other,5,5,Cargill,2016,0,0,5,5,NA,NA
Blue whiting,40,40,Cargill,2018,0,0,40,40,NA,NA
Anchovy,15,15,Cargill,2018,0,0,15,15,NA,NA
Anchoveta,,,Cargill,2018,0,0,0,0,NA,NA
Sardinella,,,Cargill,2018,0,0,0,0,NA,NA
Capelin,10,10,Cargill,2018,0,0,10,10,NA,NA
Krill,,,Cargill,2018,0,0,0,0,NA,NA
Sand eel,11,11,Cargill,2018,0,0,11,11,NA,NA
Sprat,4,4,Cargill,2018,0,0,4,4,NA,NA
Herring,1,1,Cargill,2018,0,0,1,1,NA,NA
Menhaden ,7,7,Cargill,2018,0,0,7,7,NA,NA
Pout,1,1,Cargill,2018,0,0,1,1,NA,NA
Mackerel,,,Cargill,2018,0,0,0,0,NA,NA
Hake,,,Cargill,2018,0,0,0,0,NA,NA
Cod,,,Cargill,2018,0,0,0,0,NA,NA
Boarfish,1,1,Cargill,2018,0,0,1,1,NA,NA
Silver smelt,,,Cargill,2018,0,0,0,0,NA,NA
Other,10,10,Cargill,2018,0,0,10,10,NA,NA
Blue whiting,28.7,28.7,Cargill,2019,0,0,28.7,28.7,471980.48,1935038.708
Anchovy,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Anchoveta,17.1,17.1,Cargill,2019,0,0,17.1,17.1,471980.48,1935038.708
Sardinella,9.5,9.5,Cargill,2019,0,0,9.5,9.5,471980.48,1935038.708
Capelin,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Krill,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Sand eel,5,5,Cargill,2019,0,0,5,5,471980.48,1935038.708
Sprat,6.8,6.8,Cargill,2019,0,0,6.8,6.8,471980.48,1935038.708
Herring,11.3,11.3,Cargill,2019,0,0,11.3,11.3,471980.48,1935038.708
Menhaden ,12.1,12.1,Cargill,2019,0,0,12.1,12.1,471980.48,1935038.708
Pout,3.2,3.2,Cargill,2019,0,0,3.2,3.2,471980.48,1935038.708
Mackerel,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Hake,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Cod,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Boarfish,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Silver smelt,,,Cargill,2019,0,0,0,0,471980.48,1935038.708
Other,6.2,6.2,Cargill,2019,0,0,6.2,6.2,471980.48,1935038.708
